Num.col,Colector,Localidad-sym,Familia,Genero,especie,Infraespecifico,calificadorID,Nombre cientifico,N¼ individuos en parche,UICN,LISTA-ROJA-ECUADOR,Habito,Amenazada,Localidad,NOTAS,ENDEMICA PAIS,ENDEMICA CENTINELA,PAIS,,,,,,,,,,
4775,JC Cer—n,SBSR,Gesneriaceae,Gasteranthus,extinctus,,,Gasteranthus extinctus,,CR,CR,Hierba,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,,X,ECU,,,,,,,,,,
16789,"Clark, John Littner",BCLR,Begoniaceae,Begonia,harlingii,,,Begonia harlingii,,EN,VU,Hierba,,"Parroquia: Polanco. Sector Bolo Alto, Bosque y Cascadas Las Rocas (propiedad de Eduardo Diaz). Waterfalls of the Bolo watershed.",,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,BCLR,Primulaceae,Geissanthus,fallenae,,,Geissanthus fallenae,<100,EN,EN,çrbol,s’,Bosque y Cascadas las Rocas,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,BCLR,Malvaceae,Matisia,palenquiana,,,Matisia palenquiana,<50,EN,EN,çrbol,s’,Bosque y Cascadas las Rocas,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,BCLRN,Malvaceae,Matisia,coloradorum,,,Matisia coloradorum,<50,EN,EN,çrbol,s’,BCLR Norte. Bosque al frente de BCLR,,X,,ECU,,,,,,,,,,
4456,JC Cer—n,CC,Thymelaeaceae,Daphnopsis,grandis,,,Daphnopsis grandis,,EN,EN,çrbol,s’,Cascadas Cristal,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,CC,Thymelaeaceae,Daphnopsis,grandis,,,Daphnopsis grandis,<100,EN,EN,çrbol,s’,Cascadas Cristal,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,M2,Capparaceae,Podandrogyne,brevipedunculata,,,Podandrogyne brevipedunculata,<50,EN,EN,Hierba,s’,Milton Murillo M2,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,M2,Primulaceae,Geissanthus,fallenae,,,Geissanthus fallenae,<100,EN,EN,çrbol,s’,Milton Murillo M2,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,M2,Gesneriaceae,Drymonia,laciniosa,,,Drymonia laciniosa,<100,EN,EN,Hierba trepadora,s’,Milton Murillo M2,,X,,ECU,,,,,,,,,,
